type,time
start,14:00:51
authoringNEW-start,14:01:37
authoring-finished,14:01:39
authoringNEW-start,14:01:52
authoring-finished,14:01:55
authoringNEW-start,14:02:07
authoring-finished,14:02:08
nl2js-start,14:02:09
nl2js-finished,14:02:19
js2NLexplain-start,14:02:20
js2NLexplain-finished,14:02:37
js2flow-start,14:02:37
js2flow-finished,14:03:56
nl2jswithContext-start,14:05:44
explainModifiedJS-start,14:07:07
nl2jswithContext-finished,14:07:07
explainModifiedJS-finished,14:07:11
js2flow-start,14:07:11
js2flow-finished,14:08:52
newNodeAdd,14:09:06
start,14:09:09
nodeClick,14:09:14
nodeClick,14:09:18
nodeClick,14:09:19
nodeClick,14:09:21
nodeClick,14:09:22
nodeClick,14:09:25
nodeClick,14:09:28
authoringNEW-start,14:09:41
authoring-finished,14:09:42
authoringNEW-start,14:09:46
nl2js-start,14:09:48
authoring-finished,14:09:48
nl2js-finished,14:09:51
js2NLexplain-start,14:09:51
js2NLexplain-finished,14:09:59
js2flow-start,14:09:59
js2flow-finished,14:10:30
nodeClick,14:10:42
nodeClick,14:10:42
nodeClick,14:10:45
nodeClick,14:10:46
nodeClick,14:10:47
nodeClick,14:10:47
nodeClick,14:11:50
nodeClick,14:11:51
nodeClick,14:11:51
newNodeAdd,14:11:54
newNodeAdd,14:12:06
newNodeAdd,14:12:08
nodeClick,14:12:11
nodeClick,14:12:14
nodeClick,14:12:15
nl2jswithContext-start,14:13:07
nl2jswithContext-finished,14:13:22
explainModifiedJS-start,14:13:22
explainModifiedJS-finished,14:13:27
js2flow-start,14:13:27
js2flow-finished,14:13:59
nl2jswithContext-start,14:14:07
nl2jswithContext-finished,14:14:30
explainModifiedJS-start,14:14:30
explainModifiedJS-finished,14:14:33
js2flow-start,14:14:33
js2flow-finished,14:15:26
AutoLayout,14:15:41
