type,time
start,10:50:22
authoringNEW-start,10:52:58
authoring-finished,10:53:01
authoringNEW-start,10:53:24
authoring-finished,10:53:26
nl2js-start,10:53:26
nl2js-finished,10:53:31
js2NLexplain-start,10:53:31
js2NLexplain-finished,10:53:37
js2flow-start,10:53:37
js2flow-finished,10:54:03
nodeClick,10:56:02
nodeClick,10:56:02
nodeClick,10:56:14
nodeClick,10:56:14
nodeClick,10:56:17
nodeClick,10:56:17
nodeClick,10:56:22
nodeClick,10:56:22
nodeClick,10:56:25
nodeClick,10:56:25
nodeClick,10:59:34
nodeClick,10:59:34
nodeClick,10:59:41
magicModify-start,10:59:43
magicModify-finished,10:59:47
nodeClick,10:59:59
magicModify-start,11:00:01
magicModify-finished,11:00:07
