type,time
start,20:59:36
authoringNEW-start,21:00:03
authoring-finished,21:00:05
authoringNEW-start,21:00:20
authoring-finished,21:00:21
nl2js-start,21:00:21
nl2js-finished,21:00:27
js2NLexplain-start,21:00:28
js2NLexplain-finished,21:00:33
js2flow-start,21:00:33
js2flow-finished,21:01:03
nodeClick,21:01:09
nodeClick,21:01:10
nodeClick,21:01:10
nodeClick,21:01:13
nodeClick,21:01:16
nodeClick,21:01:19
nodeClick,21:01:21
nodeClick,21:01:34
nodeClick,21:01:36
nodeClick,21:01:37
nodeClick,21:01:37
magicModify-start,21:01:39
magicModify-finished,21:01:46
magicModifyPhase-start,21:03:07
magicModifyPhase-finished,21:03:22
js2flow-start,21:03:22
js2flow-finished,21:03:49
nodeClick,21:03:56
nodeClick,21:03:57
nodeClick,21:03:57
nodeClick,21:04:01
nodeClick,21:04:02
nodeClick,21:04:04
nodeClick,21:04:05
nodeClick,21:04:11
nl2jswithContext-start,21:05:02
nl2jswithContext-finished,21:05:13
explainModifiedJS-start,21:05:13
explainModifiedJS-finished,21:05:17
js2flow-start,21:05:17
js2flow-finished,21:05:50
start,21:07:23
authoringNEW-start,21:10:16
authoring-finished,21:10:20
authoringNEW-start,21:10:31
authoring-finished,21:10:33
nl2js-start,21:10:33
nl2js-finished,21:10:39
js2NLexplain-start,21:10:39
js2NLexplain-finished,21:10:48
js2flow-start,21:10:48
js2flow-finished,21:11:21
nl2jswithContext-start,21:12:02
nl2jswithContext-finished,21:12:15
explainModifiedJS-start,21:12:15
explainModifiedJS-finished,21:12:19
js2flow-start,21:12:19
js2flow-finished,21:12:48
start,21:13:13
authoringNEW-start,21:13:32
authoring-finished,21:13:35
authoringNEW-start,21:13:50
authoring-finished,21:13:51
nl2js-start,21:13:52
nl2js-finished,21:13:56
js2NLexplain-start,21:13:56
js2NLexplain-finished,21:14:01
js2flow-start,21:14:01
js2flow-finished,21:14:30
nodeClick,21:14:39
nodeClick,21:14:40
nodeClick,21:14:41
nodeClick,21:14:42
nodeClick,21:14:43
nodeClick,21:14:43
nodeClick,21:14:48
nodeClick,21:14:49
magicModify-start,21:14:51
magicModify-finished,21:14:57
nodeClick,21:15:00
magicModify-start,21:15:12
magicModify-finished,21:15:17
nodeClick,21:18:23
nodeClick,21:18:37
